SNO,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
1,bccm.1,24,34,17,24,7,7,0.318,72,67.2,14.4,24,6.45115,0.396894479,5.789
2,bccm.2,24,34,17,24,7,7,0.332,89,81.1,2.165640783,79,7.4724,0.459888182,6.537
3,bccm.3,24,34,17,24,7,7,0.289,72,72,0,72,7.03475,0.378400036,5.977
4,bccm.4,24,35,18,8,6,6,0.438,32,28.55,0.668954408,27,7.5129,0.295748694,6.818
5,bccm.5,24,35,18,8,6,6,0.436,32,29.1,1.135781669,27,7.5452,0.282140142,6.915
6,bccm.6,24,35,18,8,6,6,0.436,32,28.75,1.259960317,26,7.4064,0.344629714,6.83
7,bccm.7,24,35,18,8,6,6,0.434,32,30.25,1.373863166,27,10.05735,0.439548891,9.21
8,bccm.8,24,35,18,8,6,6,0.429,27,26.7,0.556776436,25,7.2875,0.346008887,6.54
9,bccm.9,24,39,20,20,4,4,0.644,128,127,1.341640786,123,12.84135,0.50355638,12.188
10,bccm.10,24,39,20,20,4,4,0.645,128,126.8,1.435270009,124,12.7109,0.493278613,11.693
11,bccm.11,24,39,20,20,4,4,0.647,128,126.8,1.53622915,123,12.74,0.422414133,11.755
12,bccm.12,24,39,20,20,4,4,0.727,129,119.9,10.17300349,77,11.7094,0.563080314,10.917
13,bccm.13,24,39,20,20,4,4,0.645,124,123.85,0.476969601,122,12.29185,0.467743763,11.507
14,bccm.14,24,39,20,20,4,4,0.648,124,123.45,1.116915395,119,12.3555,0.493917858,11.548
15,bccm.15,24,39,20,20,4,4,0.646,124,123.75,0.766485486,121,12.23735,0.511936546,11.171
16,bccm.16,31,50,25,20,4,4,1.158,136,131.7,3.769615365,126,16.03355,0.701737164,14.888
17,bccm.17,31,50,25,20,4,4,1.157,136,132.6,2.853068524,127,16.00955,0.700035033,15.066
18,bccm.18,31,50,25,20,4,4,1.159,136,131,3.834057903,125,16.09685,0.613497537,15.139
19,bccm.19,31,50,25,20,4,4,1.278,136,135.05,2.060946385,129,16.7055,0.795822688,15.498
20,bccm.20,31,50,25,20,4,4,1.339,138,137.55,1.359227722,133,18.27,0.584707363,17.338
21,bccm.21,31,50,25,20,4,4,1.342,138,137.9,0.435889894,136,18.538,0.676150945,17.462
22,bccm.22,31,50,25,20,4,4,1.344,138,137.6,1.067707825,134,18.68895,0.749809274,16.881
23,bccm.23,31,50,25,20,4,4,1.328,138,137.65,0.852936105,135,18.30695,0.515548104,17.416
24,bccm.24,30,63,32,20,8,8,1.618,132,132,0,132,20.6833,0.804587665,19.065
25,bccm.25,30,63,32,20,8,8,1.61,132,131.7,1.307669683,126,20.55855,0.884527754,18.303
26,bccm.26,30,63,32,20,8,8,1.605,132,132,0,132,21.11415,1.000255131,18.624
27,bccm.27,30,63,32,20,8,8,1.614,132,132,0,132,20.62165,0.920196624,19.24
28,bccm.28,30,63,32,20,8,8,1.61,132,131.55,1.359227722,127,20.57735,0.858341382,19.225
29,bccm.29,30,63,32,20,8,8,1.53,131,130.55,0.864580823,128,21.35345,0.874914137,19.13
