SNO,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
1,gdb.1,11,19,10,40,5,5,0.101,127,36.15,1.194780315,35,2.64865,0.095179449,2.446
2,gdb.2,7,21,11,16,2,2,0.206,174,100,2,97,8.7916,0.225387755,8.372
3,gdb.3,7,21,11,12,2,2,0.167,70,25.8,12.48439025,12,6.84705,0.165339189,6.4
4,gdb.4,7,21,11,12,2,2,0.167,70,34.5,7.5,12,6.8447,0.177754916,6.392
5,gdb.5,7,21,11,12,2,2,0.167,70,32.05,10.02733763,12,6.7757,0.11716147,6.555
6,gdb.6,12,22,11,40,4,4,0.143,145,140.4,2.083266666,136,3.6637,0.153189458,3.449
7,gdb.7,12,22,11,40,5,5,0.108,136,119.65,18.73305901,39,2.86505,0.088370513,2.679
8,gdb.8,12,22,11,40,4,4,0.145,135,131.45,2.290742238,127,3.9853,0.146373871,3.661
9,gdb.9,12,22,11,44,4,4,0.171,149,108.4,42.87353496,41,4.1088,0.197894315,3.701
10,gdb.10,12,22,11,40,5,5,0.109,136,123.75,2.255548714,120,3.00035,0.118521422,2.789
11,gdb.11,12,22,11,44,4,4,0.167,149,117.1,37.48319624,41,4.09875,0.168826501,3.856
12,gdb.12,11,22,11,18,2,2,0.196,158,109.05,0.589491306,108,8.35445,0.181488973,8.004
13,gdb.13,12,22,11,40,4,4,0.144,145,140.75,1.444818328,138,3.70845,0.123688914,3.455
14,gdb.14,11,22,11,18,2,2,0.197,158,108.95,0.668954408,107,8.25265,0.168253759,8.035
15,gdb.15,13,23,12,60,3,3,0.239,377,218.45,2.635811071,217,5.9523,0.194830978,5.531
16,gdb.16,12,25,13,38,2,2,0.207,345,242.3,2.847806173,239,7.7747,0.339165903,7.172
17,gdb.17,12,25,13,38,2,2,0.225,345,243.2,3.906404997,239,7.8665,0.233734786,7.476
18,gdb.18,12,25,13,38,2,2,0.208,345,241.35,2.903015673,239,7.88975,0.37895948,7.266
19,gdb.19,12,26,13,40,3,3,0.252,259,248.9,2.406241883,246,7.39235,0.22501495,6.922
20,gdb.20,13,26,13,44,5,5,0.231,161,108.15,47.92522822,42,5.1989,0.210331144,4.649
21,gdb.21,8,28,14,16,2,2,0.293,105,98.15,1.314343943,96,12.37265,0.267950233,12.003
22,gdb.22,8,28,14,14,2,2,0.368,88,47.45,0.497493719,47,11.1176,0.163035395,10.662
23,gdb.23,8,28,14,14,2,2,0.349,88,47.05,0.668954408,46,11.0766,0.190403624,10.709
24,gdb.24,8,28,14,16,2,2,0.295,105,97.85,2.151162476,93,12.41215,0.252578359,11.969
25,gdb.25,10,28,14,198,2,2,0.369,927,112.45,3.485326384,105,12.10255,0.192053502,11.701
26,gdb.26,10,28,14,198,2,2,0.363,927,113.15,2.987892234,108,12.1191,0.182566947,11.687
27,gdb.27,11,33,17,18,2,2,0.537,192,109.7,1.486606875,107,14.80825,0.312446295,14.367
28,gdb.28,11,33,17,18,2,2,0.537,192,110.4,1.827566688,107,14.8515,0.325687197,14.209
29,gdb.29,11,33,17,18,2,2,0.539,192,110.5,1.688194302,106,15.01085,0.26704986,14.496
30,gdb.30,9,36,18,16,2,2,0.632,170,138.95,12.5716944,108,19.7712,0.541523,17.655
31,gdb.31,9,36,18,16,2,2,0.633,170,138.7,12.03785695,109,19.7055,0.453429763,18.785
32,gdb.32,9,36,18,16,2,2,0.63,170,140.5,10.93389226,108,19.7047,0.386923132,18.804
33,gdb.33,11,44,22,18,2,2,1.241,199,120.25,1.545153714,116,27.37375,0.648282876,26.394
34,gdb.34,11,44,22,18,2,2,1.234,199,123.25,10.6905332,117,27.5269,0.627710594,26.606
35,gdb.35,11,44,22,18,2,2,1.229,199,122.35,7.676424949,118,27.2247,0.639888514,25.881
36,gdb.36,11,44,22,18,2,2,1.226,199,122,7.273238618,118,27.1365,0.942559892,25.604
37,gdb.37,11,44,22,18,2,2,1.221,199,120.1,1.729161647,116,27.05935,0.714601726,25.98
