,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
0,8,27,51,16,18,8,6,0.888,103.0,71.3,10.6,65.0,0.8,0.1,0.7
1,9,12,25,9,38,4,3,0.131,127.0,125.9,2.2,121.0,0.4,0.0,0.3
2,18,8,11,3,18,1,2,0.018,64.0,64.0,0.0,64.0,0.0,0.0,0.0
3,17,9,36,13,16,6,2,0.372,16.0,15.7,0.5,15.0,0.5,0.0,0.5
4,7,27,46,13,18,6,6,0.268,64.0,58.4,13.7,18.0,0.8,0.1,0.7
5,22,11,55,18,16,9,3,1.216,44.0,15.2,0.7,14.0,0.7,0.0,0.7
6,0,12,22,7,40,3,3,0.07,140.0,133.0,4.0,129.0,0.3,0.0,0.3
7,21,11,44,14,18,7,3,0.606,50.0,13.6,0.9,13.0,0.5,0.0,0.5
8,6,12,22,8,40,4,3,0.088,149.0,139.6,2.9,136.0,0.3,0.0,0.2
9,16,8,28,10,14,5,2,0.209,40.0,10.1,0.3,10.0,0.4,0.0,0.3
10,3,11,19,5,40,2,3,0.048,244.0,182.2,42.1,148.0,0.3,0.0,0.3
11,10,22,45,16,38,8,5,0.744,34.0,32.7,1.7,29.0,0.6,0.0,0.5
12,20,11,33,11,18,5,3,0.324,51.0,15.6,0.8,15.0,0.5,0.0,0.4
13,2,12,22,8,40,4,3,0.101,138.0,131.0,4.8,123.0,0.2,0.0,0.2
14,14,7,21,8,12,4,2,0.096,32.0,7.9,0.3,7.0,0.3,0.0,0.2
15,19,11,22,8,18,4,3,0.126,58.0,24.9,15.6,16.0,0.3,0.0,0.3
16,15,8,28,10,16,5,2,0.202,16.0,13.4,0.9,12.0,0.4,0.0,0.4
17,12,10,28,9,198,4,3,0.201,63.0,50.7,2.9,48.0,0.5,0.0,0.4
18,1,12,26,9,40,4,3,0.135,149.0,136.6,3.2,131.0,0.4,0.0,0.3
19,4,13,26,7,44,3,3,0.113,166.0,150.5,5.5,141.0,0.4,0.0,0.3
20,13,7,21,8,16,4,2,0.088,15.0,15.0,0.0,15.0,0.3,0.0,0.3
21,5,12,22,7,44,3,3,0.091,163.0,130.0,29.8,41.0,0.3,0.0,0.3
22,11,13,23,7,60,3,3,0.108,351.0,148.5,73.2,59.0,0.3,0.0,0.2
