,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500,,,,,Actual order,,
0,18,8,11,3,18,1,2,0.018,64,64,0,64,0,0,0,,,,,18,1,0
1,3,11,19,5,40,2,3,0.048,244,148,0,148,3.7,0.1,3.5,,,,,3,2,3.7
2,14,7,21,8,12,4,2,0.096,32,7.2,0.4,7,3.1,0.1,3,,,,,13,4,3.2
3,13,7,21,8,16,4,2,0.087,15,15,0,15,3.2,0.1,3.1,,,,,14,3,3.1
4,0,12,22,7,40,3,3,0.069,140,127.4,1.7,126,3.3,0.1,3.1,,,,,0,5,3.3
5,6,12,22,8,40,4,3,0.087,149,135,1.3,134,3,0,2.9,,,,,19,8,3.9
6,2,12,22,8,40,4,3,0.1,138,34.4,0.5,34,2.9,0.1,2.8,,,,,2,7,2.9
7,19,11,22,8,18,4,3,0.125,58,17,0.8,16,3.9,0.1,3.8,,,,,5,9,3.3
8,5,12,22,7,44,3,3,0.09,163,51.2,28.6,41,3.3,0.2,3.1,,,,,6,6,3
9,11,13,23,7,60,3,3,0.107,351,101.7,65,59,3.7,0.5,3.1,,,,,11,10,3.7
10,9,12,25,9,38,4,3,0.129,127,123.2,2.9,120,4.1,0.1,4,,,,,9,11,4.1
11,1,12,26,9,40,4,3,0.134,149,116.8,25.8,40,4.3,0.1,4.1,,,,,1,12,4.3
12,4,13,26,7,44,3,3,0.111,166,142.1,1.3,141,4.8,0.2,4.4,,,,,4,13,4.8
13,16,8,28,10,14,5,2,0.207,40,10,0,10,4.3,0,4.3,,,,,12,16,5.5
14,15,8,28,10,16,5,2,0.202,16,12.4,0.5,12,4.6,0.1,4.5,,,,,15,15,4.6
15,12,10,28,9,198,4,3,0.2,63,48,0,48,5.5,0.1,5.4,,,,,16,14,4.3
16,20,11,33,11,18,5,3,0.324,51,15,0,15,5.5,0.1,5.4,,,,,20,17,5.5
17,17,9,36,13,16,6,2,0.365,16,14.2,0.4,14,5.8,0.1,5.6,,,,,17,18,5.8
18,21,11,44,14,18,7,3,0.601,50,12.6,0.5,12,6.5,0.1,6.3,,,,,21,19,6.5
19,10,22,45,16,38,8,5,0.739,34,33.1,1.1,31,6.7,0.2,6.4,,,,,10,20,6.7
20,7,27,46,13,18,6,6,0.26,64,57.9,13.4,18,10,0.4,9.5,,,,,7,21,10
21,8,27,51,16,18,8,6,0.891,103,63.1,1.9,60,10.7,0.4,9.8,,,,,8,22,10.7
22,22,11,55,18,16,9,3,1.204,44,13.7,0.5,13,8.4,0.1,8.2,,,,,22,23,8.4
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.839130435,,,,,,,,,
