,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Initial solution Execution Time,Initial solution Maximum Trip Time,Mean TS Maximum Trip Time,STDEV TS Maximum Trip Time,Best TS Maximum Trip Time,Mean Execution Time TS-500,STDEV Execution Time TS-500,Best Execution Time TS-500,,,,,Actual order,,,,,
0,18,8,11,3,18,1,2,0.018,64,64,0,64,0,0,0,,,,,18,1,0,,,64
1,3,11,19,5,40,2,3,0.048,244,230,0,230,3.5,0,3.5,,,,,3,2,3.5,,,244
2,14,7,21,8,12,4,2,0.095,32,8.2,1,7,3,0.2,2.5,,,,,13,4,3.4,,,15
3,13,7,21,8,16,4,2,0.087,15,15,0,15,3.4,0,3.3,,,,,14,3,3,,,32
4,0,12,22,7,40,3,3,0.068,140,130,0,130,3.2,0,3.1,,,,,0,5,3.2,,,140
5,6,12,22,8,40,4,3,0.087,149,136,0,136,2.6,0,2.6,,,,,19,8,3.9,,,58
6,2,12,22,8,40,4,3,0.1,138,34,0,34,2.7,0.1,2.6,,,,,2,7,2.7,,,138
7,19,11,22,8,18,4,3,0.124,58,16.8,1,16,3.9,0.1,3.6,,,,,5,9,3.8,,,163
8,5,12,22,7,44,3,3,0.089,163,100.4,47.7,42,3.8,0.2,3.5,,,,,6,6,2.6,,,149
9,11,13,23,7,60,3,3,0.107,351,86.8,55.6,59,3.4,0.2,3.1,,,,,11,10,3.4,,,351
10,9,12,25,9,38,4,3,0.128,127,127,0,127,4.8,0,4.7,,,,,9,11,4.8,,,127
11,1,12,26,9,40,4,3,0.133,149,133.3,2.1,127,4.3,0.1,4.2,,,,,1,12,4.3,,,149
12,4,13,26,7,44,3,3,0.11,166,148.8,4.4,141,4.9,0.1,4.8,,,,,4,13,4.9,,,166
13,16,8,28,10,14,5,2,0.207,40,10,0,10,4.1,0.2,3.9,,,,,12,16,5.6,,,63
14,15,8,28,10,16,5,2,0.199,16,12.2,0.6,12,4.4,0.1,4.1,,,,,15,15,4.4,,,16
15,12,10,28,9,198,4,3,0.197,63,53.2,1.6,50,5.6,0.2,5.5,,,,,16,14,4.1,,,40
16,20,11,33,11,18,5,3,0.317,51,15.2,0.6,15,5.5,0.1,5.2,,,,,20,17,5.5,,,51
17,17,9,36,13,16,6,2,0.364,16,13.7,0.8,13,5.7,0.1,5.4,,,,,17,18,5.7,,,16
18,21,11,44,14,18,7,3,0.599,50,13.3,0.9,13,6.4,0.2,6.2,,,,,21,19,6.4,,,50
19,10,22,45,16,38,8,5,0.737,34,34,0,34,7.4,0.1,7.3,,,,,10,20,7.4,,,34
20,7,27,46,13,18,6,6,0.262,64,48.4,15.2,18,9.2,0.2,8.9,,,,,7,21,9.2,,,64
21,8,27,51,16,18,8,6,0.879,103,68,0,68,10,0.3,9.5,,,,,8,22,10,,,103
22,22,11,55,18,16,9,3,1.195,44,15.1,0.7,14,8.1,0.1,7.9,,,,,22,23,8.1,,,44
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.77826087,,,,,,,,,,,,
