,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Initial solution Execution Time,Initial solution Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-100,STDEV Execution Time Simulated Annealing-100,Best Execution Time Simulated Annealing-100
0,8,27,51,16,18,8,6,0.09,268.0,51.7,17.0,18.0,10.3,1.0,8.3
1,9,12,25,9,38,4,3,0.02,322.0,124.7,2.8,121.0,3.7,0.2,3.4
2,18,8,11,3,18,1,2,0.004,68.0,68.0,0.0,68.0,0.0,0.0,0.0
3,17,9,36,13,16,6,2,0.035,61.0,13.4,0.5,13.0,5.6,0.1,5.5
4,7,27,46,13,18,6,6,0.065,268.0,58.8,14.1,18.0,9.4,0.9,8.0
5,22,11,55,18,16,9,3,0.079,144.0,13.0,0.6,12.0,8.1,0.3,7.7
6,0,12,22,7,40,3,3,0.013,434.0,133.2,5.6,129.0,3.5,0.2,2.8
7,21,11,44,14,18,7,3,0.048,56.0,11.4,0.5,11.0,6.3,0.1,6.1
8,6,12,22,8,40,4,3,0.017,565.0,136.9,2.9,134.0,2.9,0.3,2.5
9,16,8,28,10,14,5,2,0.022,45.0,10.0,0.0,10.0,4.0,0.1,3.9
10,3,11,19,5,40,2,3,0.008,462.0,200.4,43.2,148.0,3.7,0.2,3.3
11,10,22,45,16,38,8,5,0.05,237.0,30.7,2.6,29.0,6.1,0.4,5.4
12,20,11,33,11,18,5,3,0.025,57.0,15.0,0.0,15.0,5.1,0.2,4.8
13,2,12,22,8,40,4,3,0.016,339.0,51.9,35.6,34.0,2.8,0.1,2.6
14,14,7,21,8,12,4,2,0.014,38.0,7.4,0.5,7.0,2.8,0.2,2.6
15,19,11,22,8,18,4,3,0.019,63.0,17.5,0.7,16.0,3.8,0.1,3.6
16,15,8,28,10,16,5,2,0.02,61.0,12.2,0.4,12.0,4.3,0.2,4.0
17,12,10,28,9,198,4,3,0.021,86.0,48.0,0.0,48.0,4.8,0.1,4.5
18,1,12,26,9,40,4,3,0.016,332.0,129.3,4.9,124.0,4.3,0.3,3.7
19,4,13,26,7,44,3,3,0.014,259.0,144.8,2.7,141.0,4.5,0.5,4.0
20,13,7,21,8,16,4,2,0.013,60.0,15.1,0.3,15.0,3.0,0.1,2.8
21,5,12,22,7,44,3,3,0.009,173.0,80.6,47.3,41.0,3.3,0.3,2.8
22,11,13,23,7,60,3,3,0.015,365.0,159.8,66.0,59.0,3.5,0.4,3.1
