,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Initial solution Execution Time,Initial solution Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-100,STDEV Execution Time Simulated Annealing-100,Best Execution Time Simulated Annealing-100,,,,,Actual order,,
0,18,8,11,3,18,1,2,0.004,68,68,0,68,0,0,0,,,,,18,1,0
1,3,11,19,5,40,2,3,0.012,348,148,0,148,3.6,0.1,3.4,,,,,3,2,3.6
2,14,7,21,8,12,4,2,0.014,9,7,0,7,3,0.1,2.9,,,,,13,4,3.2
3,13,7,21,8,16,4,2,0.011,62,15.1,0.3,15,3.2,0.1,3.1,,,,,14,3,3
4,0,12,22,7,40,3,3,0.012,242,128,2.4,126,3.3,0.2,3.1,,,,,0,5,3.3
5,6,12,22,8,40,4,3,0.015,362,135.4,1.4,134,2.9,0.1,2.8,,,,,19,8,3.9
6,2,12,22,8,40,4,3,0.012,449,61.5,40.3,34,2.9,0.1,2.8,,,,,2,7,2.9
7,19,11,22,8,18,4,3,0.016,61,17,0.8,16,3.9,0.1,3.6,,,,,5,9,3.5
8,5,12,22,7,44,3,3,0.012,287,51.2,28.6,41,3.5,0.3,3,,,,,6,6,2.9
9,11,13,23,7,60,3,3,0.015,384,100.6,63.7,59,3.5,0.5,2.9,,,,,11,10,3.5
10,9,12,25,9,38,4,3,0.017,334,121,0.8,120,4.1,0.1,3.8,,,,,9,11,4.1
11,1,12,26,9,40,4,3,0.022,221,128,2.7,124,4.3,0.1,4.1,,,,,1,12,4.3
12,4,13,26,7,44,3,3,0.015,261,142.1,1.3,141,4.8,0.1,4.7,,,,,4,13,4.8
13,16,8,28,10,14,5,2,0.022,84,10,0,10,4.3,0.1,4.2,,,,,12,16,5.4
14,15,8,28,10,16,5,2,0.021,58,12.5,0.5,12,4.6,0.1,4.5,,,,,15,15,4.6
15,12,10,28,9,198,4,3,0.024,84,48.1,0.3,48,5.4,0.1,5.3,,,,,16,14,4.3
16,20,11,33,11,18,5,3,0.026,72,15,0,15,5.4,0.1,5.2,,,,,20,17,5.4
17,17,9,36,13,16,6,2,0.033,63,14,0.6,13,5.9,0.1,5.7,,,,,17,18,5.9
18,21,11,44,14,18,7,3,0.044,60,12.6,0.5,12,6.5,0.1,6.3,,,,,21,19,6.5
19,10,22,45,16,38,8,5,0.058,336,34.6,2.1,29,6.6,0.2,6.4,,,,,10,20,6.6
20,7,27,46,13,18,6,6,0.055,216,64.3,3.4,58,10.1,0.4,9.3,,,,,7,21,10.1
21,8,27,51,16,18,8,6,0.066,225,61.4,3.3,58,10.7,0.6,9.8,,,,,8,22,10.7
22,22,11,55,18,16,9,3,0.069,57,13.9,0.7,13,8.4,0.1,8.2,,,,,22,23,8.4
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.82173913,,,,,,,,,
