,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Recharge Time,Total Number of Vehicles,Number of Depot Nodes,Number of vehicles failed,Maximum Trip Time,Number of Function Calls,Execution time for auction algorithm in sec,Maximum Trip Time after auction algorithm,% increase in maximum trip time,idle time,Average time per function call,Post-optimization applied,Final Maximum Trip Time,Total improvement
0,gdb.1,11,19,10,40.0,80.0,5,5,3,37.0,3,0.049,264.0,613.5,0.0,0.016,True,264.0,0
1,gdb.10,12,22,11,40.0,80.0,5,5,2,39.0,2,0.063,258.0,561.5,0.0,0.032,True,258.0,0
2,gdb.11,12,22,11,44.0,88.0,4,4,1,39.0,1,0.026,159.0,307.7,0.0,0.026,True,159.0,0
3,gdb.12,11,22,11,18.0,36.0,2,2,1,107.0,1,0.021,250.0,133.6,0.0,0.021,True,250.0,0
4,gdb.13,12,22,11,40.0,80.0,4,4,2,136.0,2,0.044,350.0,157.4,0.0,0.022,True,350.0,0
5,gdb.14,11,22,11,18.0,36.0,2,2,1,108.0,1,0.019,216.0,100.0,0.0,0.019,True,216.0,0
6,gdb.15,13,23,12,60.0,120.0,3,3,2,217.0,2,0.028,885.0,307.8,0.0,0.014,True,885.0,0
7,gdb.16,12,25,13,38.0,76.0,2,2,1,239.0,1,0.024,449.0,87.9,0.0,0.024,True,449.0,0
8,gdb.17,12,25,13,38.0,76.0,2,2,1,239.0,1,0.023,351.0,46.9,0.0,0.023,True,351.0,0
9,gdb.18,12,25,13,38.0,76.0,2,2,1,239.0,1,0.019,553.0,131.4,0.0,0.019,True,553.0,0
10,gdb.19,12,26,13,40.0,80.0,3,3,1,239.0,1,0.032,262.0,9.6,6.0,0.032,True,262.0,0
11,gdb.2,7,21,11,16.0,32.0,2,2,1,97.0,1,0.016,193.0,99.0,0.0,0.016,True,193.0,0
12,gdb.20,13,26,13,44.0,88.0,5,5,4,134.0,4,0.117,950.0,609.0,0.0,0.029,True,950.0,0
13,gdb.21,8,28,14,16.0,32.0,2,2,1,64.0,1,0.026,159.0,148.4,0.0,0.026,True,159.0,0
14,gdb.22,8,28,14,14.0,28.0,2,2,1,46.0,1,0.043,120.0,160.9,0.0,0.043,True,120.0,0
15,gdb.23,8,28,14,14.0,28.0,2,2,1,46.0,1,0.04,120.0,160.9,0.0,0.04,True,120.0,0
16,gdb.24,8,28,14,16.0,32.0,2,2,1,95.0,1,0.026,188.0,97.9,0.0,0.026,True,188.0,0
17,gdb.25,10,28,14,198.0,396.0,2,2,1,110.0,1,0.072,1012.0,820.0,0.0,0.072,True,1012.0,0
18,gdb.26,10,28,14,198.0,396.0,2,2,1,109.0,1,0.066,614.0,463.3,0.0,0.066,True,614.0,0
19,gdb.27,11,33,17,18.0,36.0,2,2,1,106.0,1,0.062,213.0,100.9,0.0,0.062,True,213.0,0
20,gdb.28,11,33,17,18.0,36.0,2,2,1,107.0,1,0.053,249.0,132.7,0.0,0.053,True,249.0,0
21,gdb.29,11,33,17,18.0,36.0,2,2,1,107.0,1,0.046,159.0,48.6,0.0,0.046,True,159.0,0
22,gdb.3,7,21,11,12.0,24.0,2,2,1,12.0,1,0.016,48.0,300.0,0.0,0.016,True,48.0,0
23,gdb.30,9,36,18,16.0,32.0,2,2,1,109.0,1,0.047,250.0,129.4,0.0,0.047,True,250.0,0
24,gdb.31,9,36,18,16.0,32.0,2,2,1,109.0,1,0.05,236.0,116.5,0.0,0.05,True,236.0,0
25,gdb.32,9,36,18,16.0,32.0,2,2,1,108.0,1,0.038,248.0,129.6,0.0,0.038,True,248.0,0
26,gdb.33,11,44,22,18.0,36.0,2,2,1,117.0,1,0.098,270.0,130.8,0.0,0.098,True,270.0,0
27,gdb.34,11,44,22,18.0,36.0,2,2,1,118.0,1,0.097,223.0,89.0,0.0,0.097,True,223.0,0
28,gdb.35,11,44,22,18.0,36.0,2,2,1,116.0,1,0.088,268.0,131.0,0.0,0.088,True,268.0,0
29,gdb.36,11,44,22,18.0,36.0,2,2,1,117.0,1,0.099,270.0,130.8,0.0,0.099,True,270.0,0
30,gdb.37,11,44,22,18.0,36.0,2,2,1,117.0,1,0.124,255.0,117.9,0.0,0.124,True,255.0,0
31,gdb.4,7,21,11,12.0,24.0,2,2,1,12.0,1,0.016,48.0,300.0,0.0,0.016,True,48.0,0
32,gdb.5,7,21,11,12.0,24.0,2,2,1,12.0,1,0.016,48.0,300.0,0.0,0.016,True,48.0,0
33,gdb.6,12,22,11,40.0,80.0,4,4,3,136.0,3,0.059,661.0,386.0,0.0,0.02,True,661.0,0
34,gdb.7,12,22,11,40.0,80.0,5,5,2,122.0,2,0.052,233.0,91.0,0.0,0.026,True,233.0,0
35,gdb.8,12,22,11,40.0,80.0,4,4,1,127.0,1,0.028,155.0,22.0,5.0,0.028,True,155.0,0
36,gdb.9,12,22,11,44.0,88.0,4,4,1,43.0,1,0.03,259.0,502.3,0.0,0.03,True,259.0,0
