SNO,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Recharge Time,Total Number of Vehicles,Number of Depot Nodes,Number of vehicles failed,Maximum Trip Time,Number of Function Calls,Execution time for auction algorithm in sec,Maximum Trip Time after auction algorithm,% increase in maximum trip time,idle time,Average time per function call,Mean Mission Time SA,STDEV Mission Time SA,Best Mission Time SA
1,gdb.1,11,19,10,40,80,5,5,3,37,3,22.426,239,545.9,0,7.475,239,0,239
2,gdb.2,7,21,11,16,32,2,2,1,97,1,3.523,278,186.6,0,3.523,278,0,278
3,gdb.3,7,21,11,12,24,2,2,1,12,1,1.323,77,541.7,0,1.323,77,0,77
4,gdb.4,7,21,11,12,24,2,2,1,12,1,1.299,77,541.7,0,1.299,77,0,77
5,gdb.5,7,21,11,12,24,2,2,1,12,1,1.28,79,558.3,0,1.28,79,0,79
6,gdb.6,12,22,11,40,80,4,4,3,136,3,43.763,705,418.4,0,14.588,705,0,705
7,gdb.7,12,22,11,40,80,5,5,2,122,2,25.911,266,118,0,12.956,266,0,266
8,gdb.8,12,22,11,40,80,4,4,1,127,1,3.703,242,90.6,5,3.703,242,0,242
9,gdb.9,12,22,11,44,88,4,4,1,43,1,6.515,159,269.8,0,6.515,159,0,159
10,gdb.10,12,22,11,40,80,5,5,2,39,2,31.16,249,538.5,0,15.58,249,0,249
11,gdb.11,12,22,11,44,88,4,4,1,39,1,9.018,159,307.7,0,9.018,159,0,159
12,gdb.12,11,22,11,18,36,2,2,1,107,1,4.285,263,145.8,0,4.285,263,0,263
13,gdb.13,12,22,11,40,80,4,4,2,136,2,21.894,473,247.8,6,10.947,473,0,473
14,gdb.14,11,22,11,18,36,2,2,1,108,1,5.149,261,141.7,0,5.149,261,0,261
15,gdb.15,13,23,12,60,120,3,3,2,217,2,11.32,881,306,0,5.66,881,0,881
16,gdb.16,12,25,13,38,76,2,2,1,239,1,2.075,436,82.4,0,2.075,436,0,436
17,gdb.17,12,25,13,38,76,2,2,1,239,1,1.192,459,92.1,0,1.192,459,0,459
18,gdb.18,12,25,13,38,76,2,2,1,239,1,2.863,329,37.7,0,2.863,329,0,329
19,gdb.19,12,26,13,40,80,3,3,1,239,1,1.852,262,9.6,6,1.852,262,0,262
20,gdb.20,13,26,13,44,88,5,5,4,134,4,126.905,996,643.3,0,31.726,996,0,996
21,gdb.21,8,28,14,16,32,2,2,1,64,1,5.312,234,265.6,0,5.312,234,0,234
22,gdb.22,8,28,14,14,28,2,2,1,46,1,3.96,124,169.6,0,3.96,124,0,124
23,gdb.23,8,28,14,14,28,2,2,1,46,1,5.069,125,171.7,0,5.069,125,0,125
24,gdb.24,8,28,14,16,32,2,2,1,95,1,6.703,266,180,0,6.703,266,0,266
25,gdb.25,10,28,14,198,396,2,2,1,110,1,3.337,632,474.5,0,3.337,632,0,632
26,gdb.26,10,28,14,198,396,2,2,1,109,1,3.022,626,474.3,0,3.022,626,0,626
27,gdb.27,11,33,17,18,36,2,2,1,106,1,8.829,212,100,0,8.829,212,0,212
28,gdb.28,11,33,17,18,36,2,2,1,107,1,8.43,209,95.3,0,8.43,209,0,209
29,gdb.29,11,33,17,18,36,2,2,1,107,1,1.809,163,52.3,0,1.809,163,0,163
30,gdb.30,9,36,18,16,32,2,2,1,109,1,8.719,333,205.5,0,8.719,333,0,333
31,gdb.31,9,36,18,16,32,2,2,1,109,1,3.899,204,87.2,0,3.899,204,0,204
32,gdb.32,9,36,18,16,32,2,2,1,108,1,9.619,373,245.4,0,9.619,373,0,373
33,gdb.33,11,44,22,18,36,2,2,1,117,1,20.63,356,204.3,0,20.63,356,0,356
34,gdb.34,11,44,22,18,36,2,2,1,118,1,12.735,306,159.3,0,12.735,306,0,306
35,gdb.35,11,44,22,18,36,2,2,1,116,1,19.37,357,207.8,0,19.37,357,0,357
36,gdb.36,11,44,22,18,36,2,2,1,117,1,17.877,357,205.1,0,17.877,357,0,357
37,gdb.37,11,44,22,18,36,2,2,1,117,1,9.42,262,123.9,0,9.42,262,0,262
